"Story","Title","Result","Date","Stability","Duration (s)"
"MusicLab API Automation Testing Capstone Project","Post to make a class with valid parameters of json file","SUCCESS","2023-04-04T09:48:32.654+07:00[Asia/Bangkok]","0.0","1.48"
"MusicLab API Automation Testing Capstone Project","Post to make a class with invalid parameters of json file","SUCCESS","2023-04-04T09:48:34.139+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Post to make a class with null parameter","SUCCESS","2023-04-04T09:48:34.493+07:00[Asia/Bangkok]","0.0","0.54"
"MusicLab API Automation Testing Capstone Project","Get all class by ID Mentor invalid","SUCCESS","2023-04-04T09:48:35.077+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Get mentor class detail","SUCCESS","2023-04-04T09:48:35.427+07:00[Asia/Bangkok]","0.0","0.42"
"MusicLab API Automation Testing Capstone Project","Put or edit a class valid json all parameters","SUCCESS","2023-04-04T09:48:35.855+07:00[Asia/Bangkok]","0.0","1.62"
"MusicLab API Automation Testing Capstone Project","Put or edit a class one parameter","SUCCESS","2023-04-04T09:48:37.481+07:00[Asia/Bangkok]","0.0","0.53"
"MusicLab API Automation Testing Capstone Project","Get student data","SUCCESS","2023-04-04T09:49:13.908+07:00[Asia/Bangkok]","0.0","0.63"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with valid parameters","SUCCESS","2023-04-04T09:49:14.542+07:00[Asia/Bangkok]","0.0","0.49"
"MusicLab API Automation Testing Capstone Project","Put or edit student profile with invalid parameters","SUCCESS","2023-04-04T09:49:15.043+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit a class null parameter","SUCCESS","2023-04-04T09:49:15.387+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit student password with invalid parameters","SUCCESS","2023-04-04T09:49:17.925+07:00[Asia/Bangkok]","0.0","0.34"
"MusicLab API Automation Testing Capstone Project","Put or edit student password null parameter","SUCCESS","2023-04-04T09:49:18.272+07:00[Asia/Bangkok]","0.0","0.34"
